## Arrows
ARROW;Arr
ACUTE;Acute
BARRED;Bar
BARREE;Bar
BREVE;Breve
CARON;Caron
CEDILLA;Cdlla
CIRCUMFLEX;Cfx
DESCENDER;Desc
DIAERESIS;Die
DIERESIS;Die
DOT BELOW AND DOT ABOVE;DotBA
FISHHOOK;Fhook
GRAVE;Grave
LONG LEG;Lgleg
MACRON;Macron
OGONEK;Ogonek
OVERLINE;Ovl
PALATAL HOOK;Phook
PALATALIZED HOOK;Phook
RETROFLEX HOOK;Rhook
RING;Ring
STROKE;Stk
TAIL;Tail
THREE DOTS BELOW AND THREE DOTS ABOVE;3dotsBA
THREE-DOT;3dots
TILDE;Tilde
TWO-CIRCLE;2circ
## Directions
BOTTOM;B
DESCENDING;Desc
DIAGONAL;Dgn
DOWN;D
DOWN-POINTING;Dp
DOWNWARDS;Dw
FORWARD;Frwd
LEFT;L
LEFT-FACING;Lf
LEFT-POINTING;Lp
LEFTWARDS;Lw
LOWER;B
NORTH EAST;NE
NORTH WEST;NW
NORTHEAST;NE
NORTHWEST;NW
POINTING DOWNWARDS;PDw
POINTING UPWARDS;PUw
RAISED;Rise
RIGHT;R
RIGHT-FACING;Rf
RIGHT-POINTING;Rp
RIGHTWARDS;Rw
RISING;Rise
SOUTH EAST;SE
SOUTH WEST;SW
SOUTHEAST;SE
SOUTHWEST;SW
TOP;T
UP;U
UPPER;T
UP-POINTING;Up
UPWARDS;Uw
DOT;Dot
DOTLESS;Dotl
DOTTED;Dot
FOUR DOTS;4dots
THREE DOTS;3dots
TWO DOTS;2dots
## Hyphens
HYPHEN;Hyph
HYPHENATION;Hyphen
HYPHEN-MINUS;Dash
SOFT HYPHEN;Sh
## Length
LONG;Long
SHORT;Short
## Math
ACTUALLY;Act
APPROACHES;Appr
APPROXIMATELY;Aprox
ASYMPTOTICALLY;Asymp
CONTAIN AS;Cont
CONTAINS;Cont
CONTAINS AS;Cont
CUBE ROOT;Root3
DIFFERENCE;Dif
DIFFERENTIAL;Diff
DIVIDER;Div
DIVISION;Div
DOES NOT;Not
ELEMENT OF;Elm
EQUAL TO;Eq
EQUALS;Eq
EQUIVALENT TO;Eqv
EXPONENT;Exp
FACTOR;Fact
FOR ALL;Forall
FOURTH ROOT;Root4
FRACTION;Frac
GEOMETRIC;Geom
GEOMETRICALLY;Geoml
GREATER-THAN;Gt
IMAGE OF;Img
INTERPOLATION;Inpl
INTERSECTION;Insc
LESS-THAN;Lt
MATHEMATICAL;Mat
MINUS;Minus
MULTIPLICATION;Times
NEGATED;Neg
NEITHER;Not
NOT;Not
NOT A;Not
PERCENT;Pct
PLUS;Plus
PROPORTION;Prop
REVERSE SOLIDUS;Bslash
SOLIDUS;Slash
SUBSET OF;Subs
SUPERSET OF;Sups
## Month names
APRIL;Apr
AUGUST;Aug
DECEMBER;Dec
FEBRUARY;Feb
JANUARY;Jan
JULY;Jul
JUNE;Jun
MARCH;Mar
MAY;May
NOVEMBER;Nov
OCTOBER;Oct
SEPTEMBER;Sep
## Musical Notation
DIMINUTION;Dim
IMPERFECTA;Imp
IMPERFECTUM;Imp
PERFECTUM;Perf
PROLATIONE;Prol
TEMPUS;Temp
## N-grams
HEXAGRAM FOR;Hgram
MONOGRAM FOR;Mgram
TETRAGRAM FOR;Tgram
TRIGRAM FOR;Tgram
## N-tuples
DOUBLE;Dbl
QUADRUPLE;4Ple
QUINTUPLE;5Ple
SINGLE;Sgl
TRIPLE;Tple
## Oblique/Upright
OBLIQUE;Obl
UPRIGHT;Upr
## Open/Close
CLOSE;Cl
CLOSED;Cls
OPEN;Opn
OPENED;Opn
RIGHT OPEN;Ropen
CORNER BRACKET;Cornbr
CURLY BRACKET;Brace
PARENTHESIS;Paren
SQUARE BRACKET;Bracket
TORTOISE SHELL;Ts
## Parts of speech
CONSONANT;Cons
VOWEL;Vow
## Parts
HALF;Hlf
LOWER LEFT QUADRANT;BLQuad
LOWER RIGHT QUADRANT;BRQuad
QUADRANT;Quad
QUARTER;Qtr
QUARTERS;Qtr
THIRD;Thrd
THIRDS;Thrd
UPPER LEFT QUADRANT;TLQuad
UPPER RIGHT QUADRANT;TRQuad
## Positions
ABOVE;Abv
AGAINST;Agst
ATTACHED;Att
BELOW;Blw
BETWEEN;Btw
CENTRALIZATION;Cntr
CENTRE;Cntr
CENTRED;Cntr
CROSSED;Cross
CROSSING;Cross
HORIZONTAL;H
HORIZONTALLY;H
INSIDE;Ins
JUSTIFIED;Just
LOW;Low
LOWER CENTRE;BC
MIDDLE;Mid
MIDDLE RIGHT;MR
OVER;Ovr
OVERLAY;Ovl
OVERSTRUCK;Ovs
PRECEDED BY;After
SMALL HIGH;Abv
SMALL LOW;Blw
STRAIGHT;Strgt
STRAIGHT STRETCH;Strst
STRETCHED;St
SUBLINEAR;Sublin
SUPRALINEAR;Suplin
TOGETHER;Tg
UNDER;Und
VERTICAL;V
VERTICAL ABOVE;Vabv
VERTICALLY;V
## Punctuations
APOSTROPHE;Apos
COLON;Colon
COMMA;Comma
ELLIPSIS;Elpsis
EXCLAMATION;Excl
FULL STOP;Dot
SEMICOLON;Scolon
UNDERSCORE;Uscore
## Quotations
9 QUOTATION;Quote9
QUOTATION;Quote
QUOTE;Quote
## Rotations
ANTICLOCKWISE;Acw
CLOCKWISE;Cw
ROTATED;Rot
ROTATED FORTY FIVE DEGREES;45
ROTATED NINETY DEGREES;90
ROTATED ONE HUNDRED EIGHTY DEGREES;180
ROTATED ONE HUNDRED THIRTY FIVE DEGREES;135
ROTATED THREE HUNDRED FIFTEEN DEGREES;315
ROTATED TWO HUNDRED SEVENTY DEGREES;270
ROTATED TWO HUNDRED TWENTY FIVE DEGREES;225
ROTATION;Rot
ROTATIONS;Rot
## Separators
DATE SEPARATOR;Dtsep
DECIMAL SEPARATOR;Dcsep
SEPARATOR;Sep
THOUSANDS SEPARATOR;Thsep
## Separators
ANGULAR;Ang
CHEVRON;Chevr
CIRCLE;Circ
CURLY;Curly
CURVED;Curv
DIAMOND;Diam
OPEN RECTANGLE;Orect
RECTANGLE;Rect
RECTANGULAR;Rect
ROUND;Rnd
ROUNDED;Rnd
SQUARE;Sq
TRIANGLE;Trng
VERTICAL LINE;VLine
WAVE;Wve
WAVY;Wvy
## Size
LARGE;Lrg
LARGE TYPE PIECE;Ltp
SMALL;Sm
## Sounds
EPENTHETIC;Epent
FRICATIVE;Fric
GLOTTAL;Glot
NASALIZATION;Nasal
PALATALIZATION;Palat
PHARYNGEAL;Phrng
PNEUMATA;Pneu
PROLONGED SOUND;PlSnd
SEMI-VOICED SOUND;SvcSnd
STRESS;Strs
VOCALIC;Voc
VOICED SOUND;VcSnd
## Spaces
EM QUAD;Emquad
EM SPACE;Emsp
EN QUAD;Enquad
EN SPACE;Ensp
FIGURE SPACE;Figsp
FOUR PER EM SPACE;Fpmsp
HAIR SPACE;Hairsp
PUNCTUATION SPACE;Puncsp
SIX PER EM SPACE;Spmsp
SPACE;Sp
THIN SPACE;Thinsp
THREE PER EM SPACE;Tpmsp
## Special symbols
ABBREVIATION;Abbr
AGGRAVATED;Aggr
ALTERNATE;Alt
ALTERNATIVE;Alt
ARCHAIC;Arch
CAPITAL;cap
CLOSING DOUBLE-LINED HEAD MARK;Cdlhm
CLOSING HEAD MARK;Chm
COMBINING;Zw
CONTOUR;Cont
DECIMAL;Dec
DIGITS;Dig
DISPUTED;Disp
DOUBLE SHAD;Dshad
EM;Em
EN;En
EXTENDED;Ext
EXTENSION;Ext
EXTRA;Xtra
FIGURE;Fig
FILLER;Fill
FINAL;Fin
FOOTNOTE;Ftn
FUNCTION APPLICATION;FApp
HEAD OF;Ho
HEXIFORM;Hexf
INITIAL;Ini
INITIAL DOUBLE-LINED HEAD MARK;Idlhm
INITIAL HEAD MARK;Ihm
INVISIBLE;Nv
IOTIFIED;Ified
ISOLATED;Isol
ISOLATED FORM;Iso
LENGTHENER;Length
LETTER;Lt
LETTER MARK;Letter
LIGATURE;Ligature
LONG TSHEG;Ltsheg
MEDIAL;Med
MIDLINE;Midl
MODIFIED;Mod
MODIFIER;Mod
OLD;Old
ORNAMENT;Orn
SCHROEDER;Sch
SIGN;Sign
SMALL CAPITAL;smc
SUBJOINER;Sj
SURROGATE;Sur
TONE BAR;Tone
VARIATION SELECTOR;Vs
VOIDED GREEK CROSS;VGC
WORD;Wrd
ZERO WIDTH;Zw
ZEROWIDTH;Zw
## Super/Subscript
FEMININE ORDINAL INDICATOR;OrdF
MASCULINE ORDINAL INDICATOR;OrdM
SUBSCRIPT;Sub
SUPERSCRIPT;Sup
ALEF WITH LAM WITH YEH;AlLamYe
EMPTY CENTRE HIGH STOP;EmptStopAbw
EMPTY CENTRE LOW STOP;EmptStopBlw
FILLED CENTRE;Abv
RADI ALLAHOU ANHU;RadiAlAn
RAHMATULLAH ALAYHE;RahmAl
ROUNDED HIGH STOP;RndFilStop
## Symbols
AFRICAN D;Dafr
AMPERSAND;Amp
ASTERISCUS;Ast
ASTERISK;Ast
BROKEN BAR;Brbar
BULLET;Bullet
CARET;Caret
CLOCK FACE;Clk
COMMERCIAL AT;At
COPYRIGHT;Cprght
CORNERS;Corn
CURRENCY NUMERATOR;CurrNum
DEGREE;Deg
DEGREES;Deg
DENOMINATOR;Den
EMPHASIS;Emph
ETERNITY;Etern
FIVE POINTED STAR;5Pstar
HASH;Hash
HUNDRED THOUSANDS;HundThds
LENGTH;Len
METOBELUS;Metobel
MICRO;Micro
MILLIONS;Mlns
MONITOR IN PORTRAIT ORIENTATION;MonPortr
NUMBER SIGN;Hash
OBELUS;Obel
OCCLUSION;Occl
PARAGRAPH;Par
PARAGRAPHOS;Par
PARAGRAPHUS;Par
PERSONAL COMPUTER;PC
PILCROW;Pilcrow
PLUS-MINUS;PlusMinus
POETIC VERSE;PoetVrs
POINT;Pnt
PUNCTUATION;Pnct
QUESTION;Quest
REGISTERED;Regrd
SPACING DOT;Spdot
STAR;Star
STICK FIGURE;StkFig
TACK;Tack
TAKHALLUS;Takhal
THOUSANDS;Thds
## Arabic Symbols
ALAYHE;Alayh
ALAYHE ASSALLAM;AlayAss
ALLAHOU;Allah
ASSALLAM;Assal
BARREKH;Barre
DALATH;Dalat
DAMMATAN;Damt
DDAHAL;Ddaha
DHALATH;Dhala
DOACHASHMEE;Doach
FATHATAN;Fatht
GARSHUNI;Garsh
GHAMAL;Ghama
GHUNNA;Ghunn
HARKLEAN;Harkl
HBASA-ESASA;HbEs
KASRATAN;Kasrt
LAMADH;Lamad
MADDAH;Madda
MAKSURA;Maks
MARBUTA;Marb
PTHAHA;Pthah
QUSHSHAYA;Qush
RAHMATULLAH;Rahm
RUKKAKHA;Rukka
SAJDAH;Sajda
SALLALLAHOU;Sall
SALLALLAHOU ALAYHE WASSALLAM;SalAlWas
SEMKATH;Semk
SHADDA;Shadd
SINDHI;Sindh
TATWEEL;Tatwe
TCHEHEH;Tcheh
TTEHEH;Ttehe
WASSALLAM;Wassa
ZQAPHA;Zqaph
ZWARAKAY;Zwara
## Devanagari Symbols
CANDRABINDU;CandBind
PRISHTHAMATRA;Prish
## Greek Symbols
ACROPHONIC;Acro
CARYSTIAN;Cary
CYRENAIC;Cyre
DIALYTIKA;Dial
EPIDAUREAN;Epid
HERMIONIAN;Herm
LUNATE;Lun
MESSENIAN;Mess
METRETES;Metr
PERISPOMENI;Peris
PLETHRON;Pleth
PROSGEGRAMMENI;Prosg
STRATIAN;Strat
THESPIAN;Thesp
TROEZENIAN;Troez
TRYBLION;Trybl
YPOGEGRAMMENI;Ypog
## Transformations
CONTRACTION;Contr
INVERSE;Inv
INVERTED;Inv
LITTLE;Ltl
MOVED;Mov
POSTPOSITION;Post
REVERSE;Rev
REVERSED;Rev
SKEWED;Skew
SQUAT;Squat
TRANSPOSITION;Trpos
TURNED;Turn
## Weigth
HEAVY;Hvy
LIGHT;Lgt
MEDIUM;Med
THIN;Thin
## Width
NARROW;Nar
WIDE;Wide
## Z NOTATION
BAG MEMBERSHIP;Bagm
DOMAIN ANTIRESTRICTION;Domar
LEFT BINDING BRACKET;Lbbr
LEFT IMAGE BRACKET;Libr
RANGE ANTIRESTRICTION;Rngnar
RELATIONAL COMPOSITION;Relcp
RIGHT BINDING BRACKET;Rbbr
RIGHT IMAGE BRACKET;Ribr
SCHEMA COMPOSITION;Schcp
SCHEMA PIPING;Schpp
SCHEMA PROJECTION;Schpr
SPOT;Spot
TYPE COLON;Type
